,equity
2020-02-20,10918720.62440553
2020-02-21,10945417.591141693
2020-02-22,10945417.591141693
2020-02-23,10945417.591141693
2020-02-24,10945417.591141693
2020-02-25,10945417.591141693
2020-02-26,10971121.799143443
2020-02-27,10995284.013608044
2020-02-28,11017661.470253255
2020-02-29,11017661.470253255
2020-03-01,11017661.470253255
2020-03-02,11039017.070374193
2020-03-03,11059916.03356932
2020-03-04,11082123.764437187
2020-03-05,11105009.242903894
2020-03-06,11126763.431608777
2020-03-07,11126763.431608777
2020-03-08,11126763.431608777
2020-03-09,11142627.904118098
2020-03-10,11154329.173729837
2020-03-11,11160574.167906938
2020-03-12,11160021.046700493
2020-03-13,11158696.381113403
2020-03-14,11158696.381113403
2020-03-15,11158696.381113403
2020-03-16,11153683.84427128
2020-03-17,11146082.92238441
2020-03-18,11137459.069757547
2020-03-19,11125563.919596871
2020-03-20,11112712.126238419
2020-03-21,11112712.126238419
2020-03-22,11112712.126238419
2020-03-23,11096711.913605385
2020-03-24,11081627.018954212
2020-03-25,11070347.271432368
2020-03-26,11061101.621127237
2020-03-27,11054094.469885785
2020-03-28,11054094.469885785
2020-03-29,11054094.469885785
2020-03-30,11049039.728190068
2020-03-31,11045844.499774482
2020-04-01,11043131.241470069
2020-04-02,11042941.080789763
2020-04-03,11044289.626880134
2020-04-04,11044289.626880134
2020-04-05,11044289.626880134
2020-04-06,11047405.923247645
2020-04-07,11052703.514604636
2020-04-08,11059235.843888804
2020-04-09,11066075.17557365
2020-04-10,11066075.17557365
2020-04-11,11066075.17557365
2020-04-12,11066075.17557365
2020-04-13,11073901.177522084
2020-04-14,11081787.407849966
2020-04-15,11089588.893896494
2020-04-16,11096140.903697034
2020-04-17,11102270.670431096
2020-04-18,11102270.670431096
2020-04-19,11102270.670431096
2020-04-20,11107759.747630633
2020-04-21,11107759.747630633
2020-04-22,11113679.451585649
2020-04-23,11119755.105688518
2020-04-24,11125945.72804727
2020-04-25,11125945.72804727
2020-04-26,11125945.72804727
2020-04-27,11132750.9507202
2020-04-28,11140427.438038295
2020-04-29,11148673.303479437
2020-04-30,11157722.010624519
2020-05-01,11157722.010624519
2020-05-02,11157722.010624519
2020-05-03,11157722.010624519
2020-05-04,11167526.979088094
2020-05-05,11177848.099273508
2020-05-06,11187865.067629315
2020-05-07,11197569.684844986
2020-05-08,11207864.693820946
2020-05-09,11207864.693820946
2020-05-10,11207864.693820946
2020-05-11,11218287.349704353
2020-05-12,11228849.078113806
2020-05-13,11239308.648014152
2020-05-14,11249564.54281431
2020-05-15,11259180.004196178
2020-05-16,11259180.004196178
2020-05-17,11259180.004196178
2020-05-18,11268788.843825439
2020-05-19,11278615.6761865
2020-05-20,11289522.444975255
2020-05-21,11301084.2334495
2020-05-22,11312948.920775574
2020-05-23,11312948.920775574
2020-05-24,11312948.920775574
2020-05-25,11325325.630273096
2020-05-26,11337994.144629844
2020-05-27,11350871.152463604
2020-05-28,11364252.09961442
2020-05-29,11378062.50604836
2020-05-30,11378062.50604836
2020-05-31,11378062.50604836
2020-06-01,11392036.067872416
2020-06-02,11406805.690928351
2020-06-03,11422467.305838734
2020-06-04,11439078.53861164
2020-06-05,11456645.49356698
2020-06-06,11456645.49356698
2020-06-07,11456645.49356698
2020-06-08,11475058.259428537
2020-06-09,11493394.958922733
2020-06-10,11511724.31221588
2020-06-11,11511724.31221588
2020-06-12,11529283.455482533
2020-06-13,11529283.455482533
2020-06-14,11529283.455482533
2020-06-15,11546010.177735014
2020-06-16,11562425.286569912
2020-06-17,11578622.800710728
2020-06-18,11595283.56072153
2020-06-19,11612770.261493843
2020-06-20,11612770.261493843
2020-06-21,11612770.261493843
2020-06-22,11629962.009946363
2020-06-23,11647220.880345289
2020-06-24,11664382.743585657
2020-06-25,11681291.675423006
2020-06-26,11697836.733708752
2020-06-27,11697836.733708752
2020-06-28,11697836.733708752
2020-06-29,11714577.122588022
2020-06-30,11731333.409691848
2020-07-01,11748460.267584812
2020-07-02,11765975.85882608
2020-07-03,11783896.49017344
2020-07-04,11783896.49017344
2020-07-05,11783896.49017344
2020-07-06,11802353.366379455
2020-07-07,11821018.910280176
2020-07-08,11839921.30050966
2020-07-09,11858898.228524955
2020-07-10,11877916.729881605
2020-07-11,11877916.729881605
2020-07-12,11877916.729881605
2020-07-13,11896842.635798907
