,equity
2020-02-03,1115528.7531649757
2020-02-04,1123483.78524624
2020-02-05,1132031.1300519174
2020-02-06,1141021.6828725769
2020-02-07,1150317.0165742505
2020-02-08,1150317.0165742505
2020-02-09,1150317.0165742505
2020-02-10,1159215.2402010474
2020-02-11,1167863.2258744927
2020-02-12,1167863.2258744927
2020-02-13,1167863.2258744927
2020-02-14,1176325.7489544067
2020-02-15,1176325.7489544067
2020-02-16,1176325.7489544067
2020-02-17,1185218.058275153
2020-02-18,1194041.8174628157
2020-02-19,1194041.8174628157
2020-02-20,1202851.609420041
2020-02-21,1211343.7998617499
2020-02-22,1211343.7998617499
2020-02-23,1211343.7998617499
2020-02-24,1211343.7998617499
2020-02-25,1211343.7998617499
2020-02-26,1211343.7998617499
2020-02-27,1211343.7998617499
2020-02-28,1211343.7998617499
2020-02-29,1211343.7998617499
2020-03-01,1211343.7998617499
2020-03-02,1211343.7998617499
2020-03-03,1219757.5052863425
2020-03-04,1229037.1051505152
2020-03-05,1238954.8080323082
2020-03-06,1248800.3055057274
2020-03-07,1248800.3055057274
2020-03-08,1248800.3055057274
2020-03-09,1256727.4662247144
2020-03-10,1263977.9958964703
2020-03-11,1269764.5269659057
2020-03-12,1273536.7509086304
2020-03-13,1277902.6206106818
2020-03-14,1277902.6206106818
2020-03-15,1277902.6206106818
2020-03-16,1281573.870726288
2020-03-17,1284884.321715054
2020-03-18,1288918.8482387864
2020-03-19,1291607.99979249
2020-03-20,1294057.4008865852
2020-03-21,1294057.4008865852
2020-03-22,1294057.4008865852
2020-03-23,1294914.51419034
2020-03-24,1295460.6196553786
2020-03-25,1296888.0205468496
2020-03-26,1299385.1772874093
2020-03-27,1303150.1857732465
2020-03-28,1303150.1857732465
2020-03-29,1303150.1857732465
2020-03-30,1308235.2246172351
2020-03-31,1314625.3247147629
2020-04-01,1321578.853372383
2020-04-02,1329405.838813921
2020-04-03,1337118.1444821523
2020-04-04,1337118.1444821523
2020-04-05,1337118.1444821523
2020-04-06,1345014.6257808867
2020-04-07,1345014.6257808867
2020-04-08,1345014.6257808867
2020-04-09,1345014.6257808867
2020-04-10,1345014.6257808867
2020-04-11,1345014.6257808867
2020-04-12,1345014.6257808867
2020-04-13,1353361.5060972907
2020-04-14,1353361.5060972907
2020-04-15,1353361.5060972907
2020-04-16,1353361.5060972907
2020-04-17,1353361.5060972907
2020-04-18,1353361.5060972907
2020-04-19,1353361.5060972907
2020-04-20,1353361.5060972907
2020-04-21,1353361.5060972907
2020-04-22,1353361.5060972907
2020-04-23,1353361.5060972907
2020-04-24,1353361.5060972907
2020-04-25,1353361.5060972907
2020-04-26,1353361.5060972907
2020-04-27,1353361.5060972907
2020-04-28,1353361.5060972907
2020-04-29,1353361.5060972907
2020-04-30,1353361.5060972907
2020-05-01,1353361.5060972907
2020-05-02,1353361.5060972907
2020-05-03,1353361.5060972907
2020-05-04,1353361.5060972907
2020-05-05,1353361.5060972907
2020-05-06,1353361.5060972907
2020-05-07,1353361.5060972907
2020-05-08,1353361.5060972907
2020-05-09,1353361.5060972907
2020-05-10,1353361.5060972907
2020-05-11,1353361.5060972907
2020-05-12,1353361.5060972907
2020-05-13,1353361.5060972907
2020-05-14,1353361.5060972907
2020-05-15,1353361.5060972907
2020-05-16,1353361.5060972907
2020-05-17,1353361.5060972907
2020-05-18,1353361.5060972907
2020-05-19,1353361.5060972907
2020-05-20,1353361.5060972907
2020-05-21,1353361.5060972907
2020-05-22,1353361.5060972907
2020-05-23,1353361.5060972907
2020-05-24,1353361.5060972907
2020-05-25,1353361.5060972907
2020-05-26,1353361.5060972907
2020-05-27,1353361.5060972907
2020-05-28,1353361.5060972907
2020-05-29,1353361.5060972907
2020-05-30,1353361.5060972907
2020-05-31,1353361.5060972907
2020-06-01,1353361.5060972907
2020-06-02,1353361.5060972907
2020-06-03,1353361.5060972907
2020-06-04,1353361.5060972907
2020-06-05,1353361.5060972907
2020-06-06,1353361.5060972907
2020-06-07,1353361.5060972907
2020-06-08,1353361.5060972907
2020-06-09,1353361.5060972907
2020-06-10,1353361.5060972907
2020-06-11,1353361.5060972907
2020-06-12,1353361.5060972907
2020-06-13,1353361.5060972907
2020-06-14,1353361.5060972907
2020-06-15,1353361.5060972907
2020-06-16,1353361.5060972907
2020-06-17,1353361.5060972907
2020-06-18,1353361.5060972907
