Date,equity
2022-06-02,9.225530068774815e+52
2022-06-03,1.8294247687409194e+53
2022-06-03,9.305866310767267e+52
2022-06-06,9.308955939558269e+52
2022-06-06,1.8308152637660963e+53
2022-06-07,9.36431744057355e+52
2022-06-07,1.859396113554065e+53
2022-06-08,1.81136990894114e+53
2022-06-08,9.341227998170695e+52
2022-06-09,1.7658066408188004e+53
2022-06-09,9.273866027684465e+52
2022-06-10,9.209554282558135e+52
2022-06-10,1.76175474990576e+53
2022-06-13,1.7207177343685702e+53
2022-06-13,9.151367604614919e+52
2022-06-14,1.7282386788951497e+53
2022-06-14,1.7260585848645335e+53
2022-06-15,3.243074509497991e+53
2022-06-15,1.7109088055527717e+53
2022-06-17,3.1189631252014547e+53
2022-06-17,1.6593413195698579e+53
2022-06-20,1.671605340344647e+53
2022-06-20,3.1640713608587992e+53
2022-06-21,1.654461271136993e+53
2022-06-21,3.1796568458908985e+53
2022-06-22,1.6519675959100132e+53
2022-06-22,3.118468231654875e+53
2022-06-23,3.0893704391767202e+53
2022-06-23,5.754169708203013e+53
2022-06-24,3.0778120609686155e+53
2022-06-24,5.870910243013163e+53
2022-06-27,6.069137581184766e+53
2022-06-27,3.109216861623096e+53
2022-06-28,3.0948408132250317e+53
2022-06-28,5.875511861844819e+53
2022-06-29,5.839611393002983e+53
2022-06-29,3.081242069042373e+53
2022-06-30,3.073082843282815e+53
2022-06-30,5.74379420345869e+53
2022-07-01,5.74379420345869e+53
2022-07-01,5.7883823250778105e+53
2022-07-04,1.0507375394994004e+54
2022-07-04,5.85077027066088e+53
2022-07-05,5.737244556033431e+53
2022-07-05,1.046953394529344e+54
2022-07-06,1.0509147662101611e+54
2022-07-06,1.0415087847185735e+54
2022-07-07,1.9653509473168446e+54
2022-07-07,1.0566231384826668e+54
2022-07-08,1.9321366893066293e+54
2022-07-08,1.0625942394467247e+54
2022-07-11,1.9095038626214256e+54
2022-07-11,1.9204889091779202e+54
2022-07-12,3.4170087448749327e+54
2022-07-12,1.9059923122056465e+54
2022-07-13,1.9066665874839918e+54
2022-07-13,3.408580496802907e+54
2022-07-14,3.3322288946345355e+54
2022-07-14,3.301048739215336e+54
2022-07-15,5.733576009350809e+54
2022-07-15,3.32901561943709e+54
2022-07-18,3.367098312552397e+54
2022-07-18,5.754997517134729e+54
2022-07-19,3.401257948113718e+54
2022-07-19,5.74082712497802e+54
2022-07-20,3.400668622444901e+54
2022-07-20,5.653019735969563e+54
2022-07-21,5.7225585912566024e+54
2022-07-21,3.391817814276489e+54
2022-07-22,5.742700876222155e+54
2022-07-22,3.409950994634744e+54
2022-07-25,5.817573420446638e+54
2022-07-25,3.490088140140013e+54
2022-07-26,5.868209643516527e+54
2022-07-26,5.8488745952888885e+54
